RespondentID,Staff_Friendliness,Response_Speed,Complaint_Handling,Store_Cleanliness,Product_Durability,Product_Design,Value_For_Money,Product_Features
1,5,4,6,5,6,6,7,5
2,4,3,4,2,3,4,3,2
3,3,5,4,6,5,6,5,4
4,5,5,6,5,3,2,2,3
5,3,3,4,5,4,3,3,4
6,4,4,5,3,4,5,4,5
7,6,5,6,6,4,3,6,5
8,4,5,4,4,3,3,3,4
9,3,2,4,3,3,4,4,3
10,4,5,5,6,5,5,5,5
11,4,4,4,3,4,3,3,4
12,4,2,4,4,5,4,5,5
13,4,4,5,5,4,3,4,5
14,3,2,3,3,4,3,3,4
15,2,2,4,3,6,5,5,6
16,3,3,4,4,4,5,3,5
17,3,2,3,5,2,3,2,2
18,4,5,4,4,4,4,4,4
19,3,4,4,3,3,4,3,3
20,2,4,2,4,5,4,4,4
21,6,6,5,6,4,3,3,3
22,4,3,4,5,4,3,4,4
23,4,4,4,5,5,3,3,4
24,3,3,4,2,5,5,5,4
25,3,3,4,5,4,4,3,2
26,4,5,4,3,3,4,3,4
27,3,3,2,3,2,4,3,4
28,5,4,5,4,4,4,3,3
29,3,4,4,4,5,4,5,6
30,3,4,5,4,4,4,5,5
31,3,3,3,4,2,4,2,2
32,4,6,6,6,4,4,5,4
33,3,3,4,5,6,6,5,5
34,4,4,4,4,5,4,5,4
35,6,5,5,4,2,3,3,3
36,3,3,3,4,2,4,3,3
37,5,5,5,5,5,4,5,5
38,2,2,3,2,4,4,3,2
39,5,4,3,4,3,4,5,5
40,5,4,4,5,5,4,5,4
41,5,4,5,4,3,3,5,3
42,4,5,3,5,4,5,4,4
43,3,3,4,3,1,1,1,2
44,4,3,3,4,3,3,2,2
45,2,2,4,3,4,4,2,2
46,2,4,2,3,3,4,2,3
47,3,3,3,3,5,5,5,6
48,4,6,5,4,2,3,3,4
49,5,3,5,5,3,3,3,4
50,3,4,3,2,3,4,5,4
51,4,5,4,4,5,4,5,6
52,4,3,5,2,4,1,3,2
53,4,3,2,3,4,5,6,5
54,4,5,3,4,3,5,5,4
55,6,5,5,6,4,2,3,4
56,5,6,4,5,4,4,4,6
57,3,3,3,3,4,5,3,4
58,4,4,4,5,4,5,3,3
59,4,4,4,5,4,4,4,4
60,4,5,4,4,5,3,3,3
61,4,4,3,2,4,4,4,4
62,5,3,4,6,4,5,4,4
63,2,2,4,2,7,5,5,5
64,3,3,3,2,3,3,3,3
65,4,5,6,5,6,5,6,5
66,5,5,4,6,3,2,3,3
67,4,4,3,5,5,4,3,4
68,4,5,4,5,5,5,5,5
69,4,4,4,5,4,4,4,4
70,3,3,4,4,3,3,4,4
71,4,4,4,5,4,4,4,4
72,5,5,5,5,3,3,4,3
73,4,4,3,4,5,4,4,3
74,5,4,6,5,5,5,5,5
75,1,3,2,2,4,4,4,3
76,5,5,5,4,4,6,4,3
77,4,4,4,3,4,5,4,4
78,3,4,4,4,4,4,4,5
79,4,5,4,3,5,4,5,5
80,3,3,3,2,4,5,4,5
81,3,3,4,4,3,3,3,4
82,5,3,5,5,4,3,2,3
83,5,5,5,6,5,5,4,5
84,4,4,4,3,5,4,4,4
85,3,4,3,3,5,5,4,4
86,2,3,5,4,4,5,3,4
87,4,5,4,4,4,5,6,4
88,4,4,6,4,4,4,3,3
89,4,3,4,4,4,4,5,5
90,4,3,3,4,4,4,4,4
91,4,3,4,4,5,4,3,4
92,4,4,4,4,5,4,6,6
93,3,3,4,3,5,4,4,5
94,3,5,3,4,6,5,5,5
95,3,3,3,3,5,5,6,5
96,3,5,2,3,5,4,3,4
97,4,5,4,4,5,4,5,5
98,4,4,2,5,4,4,4,4
99,5,3,3,4,5,6,4,4
100,3,4,4,5,4,3,4,4
101,3,3,3,3,4,4,4,4
102,3,4,4,3,5,5,5,5
103,4,5,3,4,3,3,4,2
104,4,4,3,4,5,6,4,4
105,2,5,4,4,3,3,4,3
106,4,4,3,4,2,3,2,2
107,6,6,6,5,6,5,6,5
108,4,5,5,4,4,5,5,5
109,4,4,4,3,4,5,4,4
110,4,5,4,5,4,6,4,5
111,2,3,3,2,4,4,3,4
112,4,4,3,3,4,4,3,3
113,5,4,4,4,5,4,4,4
114,6,7,5,6,3,3,4,3
115,4,4,3,4,5,5,6,5
116,4,3,4,5,4,4,5,4
117,4,3,5,3,3,3,3,4
118,3,3,4,3,5,5,4,3
119,5,5,4,4,5,4,3,3
120,4,5,5,6,4,4,3,4
121,5,5,6,4,4,4,4,4
122,4,2,4,4,5,4,5,4
123,6,5,5,5,4,3,3,4
124,3,3,2,3,3,3,3,4
125,5,5,5,4,4,4,4,3
126,6,6,6,5,4,4,5,5
127,2,4,4,3,2,2,2,2
128,3,4,4,3,3,3,3,3
129,3,4,5,5,4,4,3,3
130,3,2,3,5,4,4,4,4
131,3,3,4,3,4,4,4,4
132,5,4,4,3,6,5,5,5
133,3,3,5,3,5,4,4,5
134,4,4,4,6,5,3,4,3
135,4,3,5,3,4,5,4,4
136,4,6,5,6,2,3,3,3
137,3,3,3,5,4,5,4,4
138,4,4,3,3,4,5,5,3
139,4,5,4,5,5,5,5,3
140,4,3,3,4,4,3,3,3
141,4,5,5,4,4,5,5,6
142,5,5,5,5,5,5,5,6
143,3,3,3,2,4,3,5,4
144,6,4,6,3,4,5,5,4
145,4,4,5,4,4,4,4,5
146,5,4,5,4,4,4,4,4
147,3,3,3,3,5,4,3,3
148,2,3,3,3,4,4,3,5
149,5,5,5,5,3,4,3,5
150,4,4,4,3,4,3,4,4
151,4,4,4,4,5,4,5,4
152,4,4,3,5,4,4,6,4
153,4,5,4,2,5,6,5,6
154,4,4,5,5,5,4,5,5
155,5,5,4,5,5,6,4,5
156,3,2,5,3,4,5,3,3
157,5,6,5,7,5,4,4,5
158,4,5,3,5,4,4,4,5
159,3,3,3,3,5,6,5,5
160,5,5,5,4,3,4,3,3
161,4,3,4,4,4,4,2,3
162,4,5,4,5,3,4,4,4
163,5,6,6,5,3,3,2,3
164,4,3,3,3,3,4,4,4
165,5,4,5,5,4,4,5,3
166,5,5,5,3,5,4,4,5
167,4,6,5,5,3,5,3,3
168,5,5,4,5,5,7,5,5
169,3,4,5,3,4,5,5,5
170,4,3,4,4,4,3,5,3
171,4,2,3,4,3,4,2,3
172,3,3,4,4,6,4,5,5
173,4,3,4,3,3,2,3,3
174,4,4,4,4,6,6,5,6
175,6,4,4,5,6,5,7,4
176,5,5,4,5,5,4,3,3
177,4,5,4,5,4,3,3,2
178,6,5,6,5,6,5,5,5
179,4,4,4,4,5,4,5,5
180,7,6,6,6,5,5,5,5
