EmployeeID,Manager_Trust,Leadership_Communication,Fair_Decision_Making,Promotion_Opportunity,Skill_Development,Career_Path_Clarity,Workload_Balance,Flexible_Hours,Time_Off_Support
1,4,6,5,2,4,5,5,5,5
2,3,4,3,2,3,3,4,3,5
3,3,5,4,5,5,3,4,3,4
4,4,5,4,5,4,4,5,5,5
5,4,4,4,4,6,4,4,4,3
6,3,4,4,3,4,3,4,4,4
7,4,5,4,6,6,6,2,3,3
8,3,2,2,4,3,3,4,5,3
9,5,5,5,4,4,5,3,5,4
10,4,5,5,3,3,3,5,5,4
11,3,3,3,4,4,3,4,3,2
12,3,3,4,4,4,4,5,5,5
13,5,4,4,4,5,3,5,6,5
14,3,3,5,4,4,4,2,3,4
15,4,4,4,4,5,3,3,3,4
16,3,3,3,4,5,4,5,4,4
17,4,4,4,5,3,4,5,5,5
18,4,4,3,4,4,4,4,4,3
19,5,5,4,5,4,3,4,3,2
20,3,4,3,6,5,3,4,3,4
21,6,6,6,6,5,7,6,4,5
22,3,4,5,5,5,4,3,3,3
23,4,3,3,3,3,2,3,5,5
24,5,5,5,4,3,5,3,4,4
25,3,4,4,7,4,4,3,4,4
26,2,4,3,4,4,4,5,4,4
27,4,5,4,3,3,4,2,3,3
28,3,3,2,4,5,5,3,4,4
29,5,6,5,4,4,4,4,5,5
30,3,3,4,5,4,5,4,5,4
31,5,3,4,5,4,4,3,2,3
32,5,5,5,5,5,5,2,2,1
33,2,4,3,3,4,4,4,3,3
34,4,5,4,4,3,3,3,2,4
35,2,2,3,5,5,5,5,6,5
36,4,4,5,5,4,5,4,3,3
37,3,3,3,3,3,3,4,4,3
38,5,5,4,4,2,4,3,4,4
39,5,5,6,3,4,2,3,4,3
40,5,3,4,5,4,4,3,5,4
41,4,5,5,3,3,3,2,5,2
42,4,3,4,2,2,3,5,5,5
43,5,5,4,2,2,3,3,4,3
44,3,3,3,3,4,5,2,4,4
45,2,3,2,5,5,5,4,5,5
46,3,4,4,3,4,4,5,5,6
47,5,4,4,5,5,4,4,5,5
48,6,5,5,3,3,3,3,4,3
49,4,4,4,3,3,3,4,4,3
50,3,3,5,6,5,5,5,5,4
51,6,5,6,4,4,6,5,5,5
52,4,4,4,4,4,3,5,4,5
53,4,4,4,5,4,6,4,4,4
54,4,3,4,4,4,4,4,3,2
55,3,4,4,4,4,5,4,4,3
56,4,4,3,4,6,5,4,4,4
57,3,4,4,6,4,5,6,5,5
58,4,3,4,4,4,3,5,4,5
59,4,5,4,7,5,5,3,2,2
60,6,5,5,3,4,3,4,4,3
61,4,3,4,4,4,3,2,3,3
62,2,2,4,3,4,3,4,4,4
63,5,4,4,2,3,2,3,6,5
64,5,5,6,4,4,4,3,4,3
65,3,4,3,5,5,5,3,2,3
66,2,4,4,3,4,4,4,3,3
67,3,3,4,3,4,4,5,4,3
68,3,3,2,4,5,6,4,4,3
69,3,4,3,4,3,4,4,5,4
70,3,4,3,2,1,2,4,3,3
71,5,6,4,4,4,3,5,5,5
72,4,5,3,2,2,2,3,4,5
73,4,4,5,5,5,4,5,3,3
74,5,5,4,4,3,4,4,3,3
75,5,7,5,2,3,3,3,3,4
76,4,4,4,4,3,5,4,5,4
77,5,5,5,7,6,7,5,3,6
78,5,4,4,2,3,4,3,3,2
79,3,4,4,3,3,3,3,3,4
80,3,2,3,4,4,4,4,4,4
81,5,4,5,4,5,5,5,5,5
82,4,4,5,4,4,5,4,2,4
83,3,4,4,2,3,3,2,3,4
84,3,3,3,3,2,3,4,2,2
85,4,3,3,5,4,4,7,6,5
86,4,3,3,3,4,5,5,4,4
87,3,4,3,3,2,4,4,4,5
88,5,4,5,6,6,6,5,5,4
89,5,4,6,5,5,5,5,5,5
90,5,4,3,4,4,3,4,4,4
91,4,4,4,3,3,3,4,4,4
92,5,5,4,4,4,4,5,5,5
93,4,3,3,3,4,2,5,6,3
94,4,4,5,3,3,2,5,4,5
95,4,4,4,3,4,4,3,4,5
96,3,3,5,3,2,2,4,4,3
97,6,6,7,4,4,5,5,5,5
