StoreID,Monthly_Footfall,Avg_Transaction_Value,Staff_Count,Store_Age_Years,Distance_From_Warehouse_KM,Parking_Spots
1,3740,349.77,14,19,42.9,31
2,2237,1100.72,16,8,126.3,46
3,2268,1892.18,10,17,105.1,51
4,3957,1522.05,22,29,91.9,8
5,555,496.05,22,14,12.4,0
6,4581,319.71,22,5,27.3,27
7,949,1249.51,9,20,46.7,8
8,676,1249.92,16,7,63.1,3
9,559,1413.86,17,29,23.2,30
10,2522,636.22,13,16,125.9,38
11,1887,1008.42,3,25,52.0,42
12,744,1458.26,15,2,39.8,23
13,4540,485.49,7,13,69.9,1
14,1544,537.11,13,14,128.1,48
15,1091,989.89,5,20,27.5,10
16,3310,650.88,17,24,127.5,58
17,2319,1855.09,21,20,1.9,16
18,3378,541.82,23,10,106.0,39
19,3634,919.48,10,28,147.4,22
20,2053,1671.45,7,24,24.4,30
21,2621,269.13,16,28,95.8,38
22,3849,1402.61,20,10,28.1,6
23,4765,225.28,14,1,124.4,19
24,3415,1870.7,8,2,77.5,3
25,1290,405.56,6,13,123.3,24
26,1273,473.37,23,8,26.3,48
27,3200,1295.53,5,21,62.0,48
28,2900,1725.06,24,28,58.9,43
29,2288,985.47,10,6,66.8,0
30,2473,1037.7,17,8,31.2,31
31,1952,1705.37,22,13,148.6,47
32,1343,1117.36,24,15,147.6,31
33,4710,1029.2,15,11,130.8,50
34,511,728.55,11,19,143.4,29
35,4305,852.36,8,5,90.6,44
36,3695,790.21,8,15,117.9,2
37,3477,1223.92,23,3,48.7,51
38,4864,1607.55,12,22,18.9,51
39,1984,1499.54,16,18,57.8,36
40,1612,1421.58,19,12,121.4,22
41,1126,1871.34,12,14,10.3,43
42,4572,1760.8,24,19,61.0,9
43,3327,1864.6,16,3,75.4,20
44,945,275.69,19,8,57.0,50
45,4095,908.87,6,7,59.0,42
46,4311,1250.27,23,20,129.8,55
47,4710,1031.36,18,14,21.8,44
48,881,1422.83,21,4,75.5,49
49,1974,1977.35,12,1,124.3,38
50,815,476.38,19,20,23.6,30
51,990,799.75,5,8,89.7,56
52,1607,1915.63,7,1,93.3,22
53,4656,968.32,20,4,130.9,20
54,4700,950.74,22,6,53.5,13
55,3991,1768.18,18,22,52.0,37
56,3169,275.1,17,26,32.7,47
57,4777,415.14,23,6,132.6,44
58,529,428.04,22,12,8.0,33
59,4189,1981.12,11,26,143.9,42
60,2656,360.9,11,9,26.4,34
61,2593,924.45,20,15,38.6,7
62,2897,1804.04,12,5,83.1,21
63,4019,891.63,20,8,146.6,23
64,4115,242.85,7,13,34.5,45
65,4159,954.92,12,10,98.2,56
66,2386,350.84,14,19,114.9,31
67,3296,1263.88,17,3,18.4,20
68,4637,1041.69,4,10,119.3,17
69,2351,841.47,10,22,85.1,56
70,4431,1728.58,24,22,37.5,37
71,2777,1838.64,10,16,47.8,5
72,4761,1091.65,11,3,35.3,49
73,1684,1005.58,10,29,106.0,27
74,3447,1851.51,17,6,15.3,4
75,4880,1781.33,9,5,33.2,49
76,1441,1724.01,24,22,112.3,56
77,2735,1360.05,18,13,68.8,13
78,3549,1157.3,23,1,68.5,20
79,3897,1936.75,14,15,115.9,50
80,3489,726.01,17,15,66.0,25
81,3995,750.9,10,21,106.9,41
82,4780,382.58,10,8,104.9,37
83,3236,925.83,6,8,48.2,48
84,834,1133.09,20,6,61.4,15
85,2903,387.07,24,16,4.5,22
86,3343,802.17,4,15,30.1,4
87,1885,960.38,12,1,84.7,33
88,3886,1980.89,10,9,117.7,21
89,3476,1958.77,9,14,64.5,19
90,1240,408.23,12,9,36.8,2
91,2181,940.95,6,14,126.0,45
92,513,1614.21,22,14,72.1,27
93,2788,1305.67,4,29,73.2,25
94,4267,1469.89,17,28,141.8,6
95,1037,1744.11,7,6,50.9,57
96,3966,841.04,14,21,139.2,18
97,2707,1460.56,18,6,25.9,20
98,3470,1351.52,12,16,2.0,7
99,3051,318.33,8,5,132.6,15
100,1120,1396.55,20,3,145.8,19
101,1384,291.78,16,4,134.9,44
102,4838,613.53,21,3,38.1,28
103,3610,398.59,9,13,50.8,50
104,3137,617.22,18,26,106.9,53
105,1778,1911.4,4,3,125.0,49
106,4215,1749.25,9,19,11.0,7
107,4163,727.11,7,26,72.7,58
108,3666,1916.26,22,25,145.7,23
109,4753,418.42,18,23,117.8,55
110,2366,524.97,4,10,23.5,45
111,1742,1018.31,5,14,119.0,13
112,917,298.58,17,24,129.4,39
113,4434,939.65,10,20,134.9,49
114,4530,1225.87,4,23,20.7,45
115,4227,1601.62,8,19,86.8,39
116,1651,1576.96,16,4,27.0,40
117,1727,1998.86,3,17,85.7,0
118,3770,1152.17,8,17,73.7,23
119,3387,1696.95,21,7,22.0,59
120,1576,1501.87,16,10,30.1,55
121,4429,1583.86,5,24,105.3,1
122,4950,728.0,9,26,1.4,16
123,3065,1219.33,21,22,84.7,9
124,3253,1654.94,11,14,85.5,26
125,1764,1181.4,10,6,9.3,17
126,2587,1739.1,4,8,32.7,31
127,944,1107.35,19,19,22.7,28
128,3642,653.29,16,10,23.4,10
129,3448,400.7,5,14,27.8,25
130,2465,663.9,19,28,100.5,38
131,3779,1312.44,13,2,131.3,38
132,2260,1028.72,20,24,85.6,35
133,4425,1533.0,14,1,19.3,50
134,4735,878.44,4,6,38.5,11
135,3053,1586.65,14,27,59.9,42
136,3820,777.73,15,29,110.3,35
137,4882,1957.52,20,16,7.2,15
138,2887,737.79,13,10,128.6,57
139,1685,1754.86,12,7,63.0,2
140,3006,973.66,20,8,146.3,54
141,2961,640.89,18,10,65.3,9
142,3390,1924.16,13,7,113.8,55
143,2308,904.99,12,24,24.6,48
144,2859,1495.64,15,20,21.1,11
145,3828,498.71,12,9,82.6,23
146,3899,1935.53,5,4,113.8,30
147,3723,449.57,20,8,23.0,37
148,4957,1775.75,13,3,24.6,37
149,3522,226.56,8,6,35.2,6
