SessionID,Avg_Session_Duration_Min,Pages_Per_Session,Bounce_Rate_Pct,Scroll_Depth_Pct,Click_Through_Rate_Pct,Cart_Additions,Search_Queries_Per_Visit,Newsletter_Signup_Rate_Pct,Video_Plays,Social_Shares
1,6.72,5.7,41.27,34.37,6.19,1.14,3.9,2.86,2.59,1.67
2,8.86,4.83,24.38,63.91,0.9,2.51,0.81,0.0,2.81,0.34
3,4.15,1.57,50.42,31.65,3.44,1.98,0.59,1.11,1.7,1.54
4,5.42,3.33,37.57,45.82,3.85,2.34,1.94,1.54,3.0,0.0
5,4.86,4.1,32.5,40.23,4.64,1.45,1.06,0.16,1.69,0.84
6,3.3,5.63,52.68,52.56,4.46,1.84,0.0,2.06,4.3,0.0
7,0.5,4.1,30.44,63.49,0.92,0.62,2.15,0.64,1.45,1.01
8,9.95,5.01,16.46,87.81,1.13,0.34,2.23,2.24,2.08,2.55
9,1.78,7.29,49.47,44.88,5.75,2.72,2.91,3.16,0.64,0.11
10,5.57,3.77,63.53,54.17,4.94,1.32,2.29,2.02,2.83,0.09
11,1.77,6.31,46.45,23.83,2.26,3.21,0.07,1.5,2.62,0.0
12,8.91,6.0,28.38,81.79,2.15,3.53,2.35,0.0,4.66,0.25
13,3.82,4.83,79.25,98.39,2.19,0.7,3.74,1.54,2.11,0.49
14,3.32,0.53,27.79,36.33,5.05,0.0,0.45,0.38,2.57,0.24
15,4.14,9.34,50.81,85.45,4.85,0.5,2.93,2.39,3.02,0.65
16,0.5,4.75,40.91,75.51,4.22,1.32,0.97,0.06,0.25,0.0
17,7.21,6.58,42.7,50.28,3.02,1.97,0.93,1.85,2.17,1.53
18,8.15,2.99,53.79,58.12,6.47,1.97,3.13,2.86,0.0,1.78
19,4.76,4.78,56.34,75.63,3.9,2.69,2.46,0.09,2.12,0.5
20,8.69,6.11,42.24,57.75,4.25,0.0,1.84,2.81,1.85,0.44
21,2.82,0.0,46.79,56.75,3.38,1.38,2.2,0.78,3.5,0.0
22,8.1,4.38,47.46,35.17,2.32,5.03,0.57,0.61,2.97,1.32
23,10.24,3.58,50.93,41.5,3.89,2.76,1.33,1.44,0.9,0.26
24,6.33,6.21,51.49,30.54,2.48,5.14,1.68,1.24,2.28,1.31
25,6.5,3.99,58.21,48.65,1.5,2.43,2.5,2.99,2.9,1.24
26,3.67,6.64,20.55,32.85,3.14,2.16,1.41,2.81,1.18,0.74
27,4.87,4.48,34.7,62.82,4.86,1.67,2.1,1.41,3.78,0.1
28,2.31,1.73,51.52,79.0,3.72,2.79,0.0,3.76,0.69,0.65
29,7.38,5.36,57.76,22.7,2.77,3.11,3.61,0.0,2.18,0.16
30,3.21,0.35,46.15,58.85,3.04,2.4,0.0,1.58,1.77,1.52
31,4.16,6.5,34.56,69.46,2.3,0.0,3.0,1.97,0.0,0.06
32,3.85,4.53,21.15,69.85,4.57,2.48,1.66,0.78,0.0,0.66
33,11.14,6.01,49.01,92.25,2.66,2.3,1.36,0.0,3.14,0.47
34,5.52,7.2,53.87,48.76,4.46,3.29,1.44,0.47,0.15,0.0
35,5.07,3.32,56.27,42.53,3.77,3.39,3.09,2.78,4.68,0.0
36,9.19,6.53,23.25,57.21,3.9,0.43,2.74,2.38,1.94,2.22
37,4.36,5.59,63.54,19.62,4.74,0.49,1.38,0.07,0.97,0.22
38,4.2,2.99,25.51,27.47,4.45,4.26,2.32,3.03,4.42,2.25
39,1.75,5.78,24.9,47.5,2.99,1.7,2.08,2.94,0.0,1.13
40,8.57,2.04,39.33,73.36,7.04,2.0,3.59,0.18,1.85,0.0
41,6.3,3.23,46.3,54.95,2.91,1.25,1.77,3.66,1.14,2.22
42,3.45,0.61,43.81,68.95,3.65,3.62,0.0,0.46,2.11,1.33
43,9.64,3.93,42.61,55.69,6.23,4.76,2.25,2.21,1.28,0.0
44,4.22,5.03,46.84,14.89,3.44,1.21,1.45,0.65,4.85,1.82
45,7.61,2.96,50.14,15.93,4.41,3.38,1.87,1.29,0.81,0.42
46,5.55,4.22,40.83,76.79,4.51,4.13,4.43,1.81,2.31,0.73
47,4.14,1.43,49.11,63.45,4.6,1.38,2.92,2.59,1.22,1.77
48,1.2,4.34,27.96,31.7,4.89,4.27,3.08,2.43,4.5,0.64
49,7.07,5.64,50.47,50.02,4.36,2.59,1.08,3.74,0.74,1.21
50,4.31,0.0,48.35,56.62,3.23,4.91,1.54,2.57,3.61,0.49
51,4.73,5.91,30.25,88.78,3.36,4.33,2.11,3.05,2.34,0.54
52,5.13,2.59,48.38,85.9,4.19,0.0,2.73,4.51,1.27,2.15
53,6.1,3.25,48.58,65.23,2.21,2.3,1.29,0.61,0.98,0.0
54,8.01,2.68,35.81,15.57,5.25,0.0,1.54,2.92,0.23,0.83
55,3.05,3.17,34.35,53.46,3.99,1.49,0.0,3.99,3.91,1.08
56,5.92,1.01,48.5,24.66,2.06,3.06,2.95,0.01,2.37,1.37
57,5.04,4.75,31.38,36.72,1.47,2.93,0.11,3.11,2.94,0.19
58,8.92,2.51,22.45,72.97,3.48,4.81,2.39,2.75,1.85,0.94
59,2.92,4.75,36.78,70.01,2.87,3.62,3.49,2.19,0.0,0.24
60,5.46,0.59,70.89,39.13,0.0,0.82,0.34,0.14,2.25,1.06
61,10.25,3.63,49.86,88.06,3.04,0.92,3.92,2.14,4.07,2.16
62,5.84,3.77,46.26,21.72,3.37,0.0,0.0,0.0,0.75,1.19
63,12.67,4.36,33.37,37.48,4.95,4.4,1.34,1.44,2.02,1.27
64,7.16,3.63,40.63,32.63,3.77,3.86,1.19,3.12,1.35,1.07
65,6.34,4.64,35.55,37.59,3.27,1.9,2.39,3.62,2.33,0.4
66,3.74,2.52,45.59,53.79,1.2,2.31,2.91,0.62,3.58,2.24
67,7.69,3.56,10.73,82.32,2.96,3.27,1.75,4.93,1.24,0.63
68,4.62,6.88,40.33,40.22,3.4,5.31,0.5,2.12,2.74,1.82
69,3.97,6.12,50.31,79.98,3.9,2.63,2.33,3.14,0.0,0.49
70,10.86,5.14,43.14,85.5,2.0,1.07,0.42,1.99,2.4,0.0
71,6.75,1.48,63.26,33.23,0.91,2.83,0.0,1.53,2.14,1.03
72,7.02,4.21,51.23,35.74,3.05,2.66,1.38,3.39,1.47,1.56
73,8.1,3.24,29.94,45.08,5.86,1.42,2.33,1.76,1.79,0.56
74,3.23,3.41,43.05,76.63,2.65,2.8,0.72,0.5,0.73,0.46
75,9.19,3.08,57.85,72.18,2.9,1.01,1.13,1.1,1.76,0.19
76,12.68,2.23,51.83,40.75,4.2,2.38,3.76,0.0,0.86,0.87
77,10.07,5.72,52.93,49.95,5.08,0.03,2.39,2.23,3.97,0.79
78,11.13,4.51,40.13,62.52,3.96,3.55,2.28,1.22,0.0,0.39
79,7.49,6.29,50.03,66.25,3.78,1.73,2.51,0.74,0.0,0.62
80,11.38,6.9,26.72,84.52,6.1,2.0,0.0,1.67,0.0,1.57
81,9.63,6.28,19.32,72.31,4.12,0.48,1.28,3.09,1.55,1.5
82,9.17,4.69,33.97,55.53,3.99,0.44,5.64,6.22,0.0,0.74
83,5.19,2.76,32.02,27.17,5.7,2.63,1.75,0.0,3.8,0.29
84,4.64,8.03,46.19,31.98,0.66,2.9,0.07,1.96,0.64,1.38
85,1.61,6.66,43.13,33.88,2.72,0.0,1.36,2.52,1.21,1.95
86,2.22,5.7,54.42,65.24,4.29,1.05,2.63,0.51,3.51,0.0
87,6.64,3.81,35.3,53.41,3.5,0.0,2.78,4.61,1.09,0.1
88,1.3,6.1,23.33,69.44,0.59,0.89,1.52,1.32,1.89,0.16
89,0.5,4.52,37.16,60.07,3.26,0.0,0.65,2.26,0.0,0.21
90,11.42,5.55,32.83,60.99,2.39,1.7,1.43,2.0,2.44,1.7
91,8.78,0.0,59.5,55.37,2.03,3.09,0.96,0.21,2.98,1.89
92,2.61,1.58,50.36,56.13,4.46,1.41,1.26,0.32,2.89,0.02
93,8.63,4.71,54.25,58.06,3.39,2.87,2.97,0.8,3.48,1.24
94,9.15,4.31,47.18,23.0,4.0,1.3,1.57,3.11,2.45,1.05
95,1.9,3.39,42.56,67.7,6.76,3.11,2.72,1.88,1.61,1.67
96,6.89,4.45,35.85,55.15,4.59,1.18,1.31,3.08,0.0,0.37
97,9.29,2.7,68.86,39.42,5.4,1.08,0.14,4.99,3.72,0.34
98,7.16,2.64,29.67,74.22,3.8,1.67,0.49,2.68,1.14,0.39
99,7.73,6.03,24.77,34.22,6.11,3.02,4.48,5.45,0.56,0.78
100,3.8,1.87,47.45,41.74,4.0,1.55,0.23,0.96,1.63,0.82
101,5.04,3.8,46.78,60.22,5.77,0.0,2.46,1.47,0.29,0.92
102,5.15,0.0,51.38,66.2,4.16,4.41,0.53,0.34,2.71,0.0
103,5.8,3.38,63.25,25.0,2.67,3.21,0.0,2.26,0.41,1.35
104,0.5,3.74,35.83,57.43,3.41,0.91,0.62,1.4,1.32,0.63
105,7.64,7.52,51.07,17.32,5.07,2.58,1.02,1.59,0.92,2.07
106,11.37,2.58,44.96,29.46,2.71,2.21,0.78,3.28,1.94,1.51
107,8.74,5.5,36.05,50.09,3.83,1.42,1.29,0.83,0.55,1.19
108,2.52,4.3,49.62,25.11,2.08,3.56,0.37,4.01,2.37,0.26
109,3.95,3.11,41.86,45.07,3.14,2.87,0.49,2.34,3.85,0.0
110,0.69,5.08,50.72,55.58,5.81,0.31,2.09,1.12,1.59,0.0
111,7.37,5.4,49.32,66.68,7.14,3.54,3.01,3.8,1.69,0.65
112,8.16,3.45,66.9,70.93,4.52,0.15,0.0,0.92,1.8,1.29
113,7.29,0.0,40.44,53.97,4.53,1.18,1.16,0.61,4.39,2.73
114,3.91,4.19,51.13,29.02,6.2,1.15,2.18,1.04,2.7,0.27
115,4.53,1.99,39.04,71.1,0.3,1.85,0.0,2.36,3.86,2.33
116,6.01,4.28,29.46,70.7,2.75,1.05,1.1,4.38,0.0,0.46
117,3.29,1.96,47.22,48.05,3.31,3.37,2.23,0.0,1.78,1.11
118,0.5,0.0,48.35,76.32,4.33,3.49,1.37,2.59,2.49,0.13
119,0.5,6.12,33.7,57.41,4.14,0.79,2.4,4.34,1.44,0.0
120,7.61,0.79,43.42,61.86,2.45,2.8,0.16,2.81,1.45,0.0
121,6.9,5.62,38.15,65.13,3.78,0.0,1.09,1.83,1.75,1.48
122,5.58,3.66,26.87,31.06,2.57,2.9,2.46,0.37,2.22,0.93
123,7.31,1.43,16.16,61.54,2.88,2.07,0.48,1.4,1.86,0.81
124,8.85,5.09,78.76,53.21,4.49,1.94,0.51,0.0,2.28,1.21
125,4.46,1.94,29.94,44.66,3.48,0.35,2.83,3.88,2.76,0.8
126,4.58,4.4,46.51,46.98,4.94,2.08,0.0,5.32,2.91,0.0
127,3.56,2.79,26.34,58.72,2.91,2.61,0.0,1.87,4.41,0.15
128,7.42,4.56,35.68,60.0,4.34,3.12,2.27,4.92,1.31,1.53
129,4.49,1.63,48.97,47.81,4.78,3.99,2.57,4.17,1.21,0.0
130,8.73,4.15,56.8,0.0,1.73,3.17,0.68,1.69,0.69,0.49
131,9.07,7.6,28.04,36.61,3.32,0.0,0.56,1.22,1.92,1.6
132,8.16,4.47,29.41,61.37,4.39,0.3,2.81,1.47,0.89,0.2
133,5.92,2.41,29.68,59.15,5.83,1.08,2.26,1.22,0.0,0.27
134,6.5,2.03,41.38,47.9,3.88,0.96,0.74,0.03,1.02,0.86
135,8.03,2.76,67.37,36.22,2.15,0.13,0.0,0.83,2.75,1.84
136,10.23,6.34,28.23,58.27,0.37,1.34,1.92,2.41,4.02,1.17
137,5.09,2.95,45.12,82.03,3.56,2.43,3.27,2.36,0.0,0.12
138,10.15,7.85,43.54,42.44,2.49,0.0,3.36,1.16,2.62,3.23
139,5.37,3.08,54.67,100.0,0.93,0.0,0.8,1.26,2.17,1.23
140,9.17,5.53,61.9,21.28,3.63,1.99,0.6,2.18,3.42,0.7
141,7.41,5.09,67.15,59.44,2.05,0.42,0.47,2.87,1.95,1.01
142,2.59,6.28,74.4,48.57,2.85,0.4,0.0,3.21,2.12,0.88
143,5.02,3.42,36.63,55.11,3.19,3.09,0.22,1.69,0.84,1.11
144,12.13,6.55,78.23,69.05,4.62,4.31,2.83,1.75,2.86,0.0
145,7.19,6.25,51.37,62.89,3.88,1.79,0.0,2.42,3.58,0.68
146,5.46,4.73,36.04,45.65,3.53,0.75,1.82,0.95,1.75,0.03
147,4.82,4.27,38.02,25.35,3.55,0.0,1.33,2.25,2.25,2.02
148,4.47,4.94,43.0,41.91,6.26,3.3,2.28,4.58,2.09,0.0
149,10.68,3.31,54.69,26.35,3.47,1.35,1.05,0.34,1.06,2.6
150,3.3,4.64,53.28,58.01,4.86,0.0,1.1,3.57,2.04,0.0
151,5.06,3.21,73.44,41.89,2.19,2.36,0.0,0.4,2.0,1.07
152,5.61,3.92,56.35,41.59,3.65,2.05,3.85,1.88,1.01,2.29
153,8.55,1.26,53.63,18.21,2.25,4.23,3.44,4.3,3.34,0.29
154,7.31,3.23,44.56,100.0,3.64,2.03,2.85,3.23,4.99,2.47
155,5.74,2.4,51.59,55.6,2.97,3.09,0.83,3.14,1.41,2.13
156,10.73,0.27,67.08,69.6,1.44,4.15,0.0,1.9,2.5,1.17
157,6.82,5.66,57.46,88.99,4.89,2.21,2.87,2.66,4.12,1.2
