EmployeeID,Overall_Job_Satisfaction,Would_Recommend_Employer,Office_Comfort,Equipment_Quality,Commute_Convenience,Team_Camaraderie,Social_Events_Quality,Sense_Of_Belonging,Manager_Approachability
1,5,3,5,3,4,3,7,3,4
2,3,3,4,6,4,4,2,3,5
3,4,4,5,4,4,3,3,5,2
4,2,4,4,4,4,4,3,3,2
5,5,6,3,4,4,7,6,6,6
6,4,1,2,3,2,2,1,3,3
7,4,6,2,4,3,4,4,5,3
8,3,4,4,4,1,1,3,5,5
9,5,4,2,3,2,2,5,3,3
10,3,5,6,5,2,4,6,4,4
11,4,5,5,4,5,4,3,3,5
12,6,5,4,5,4,6,6,4,6
13,3,4,4,3,5,4,5,3,4
14,5,5,5,5,5,4,5,5,4
15,4,2,5,2,2,3,4,5,3
16,3,1,3,3,5,3,5,6,5
17,4,3,5,5,4,5,5,4,3
18,5,4,5,3,6,5,2,5,6
19,5,4,5,2,3,4,3,5,3
20,4,5,3,3,4,4,4,4,4
21,5,3,3,4,4,6,4,4,5
22,4,2,5,3,2,3,5,3,4
23,4,6,1,3,4,2,2,4,4
24,3,4,6,5,5,4,4,3,3
25,5,5,5,5,5,3,3,2,3
26,2,2,4,2,3,1,4,2,4
27,4,4,2,3,3,3,4,4,2
28,5,6,3,4,5,4,4,5,6
29,5,3,4,5,4,6,4,4,3
30,3,4,5,4,4,5,7,5,5
31,4,2,2,4,3,3,1,3,3
32,2,4,3,3,3,3,5,3,3
33,3,2,4,3,2,3,4,3,3
34,3,2,2,3,4,4,4,2,2
35,5,3,3,3,4,4,3,6,6
36,4,4,4,3,4,2,4,4,5
37,5,4,4,4,4,3,4,3,4
38,4,4,4,4,4,5,4,2,5
39,3,5,4,5,3,5,4,2,3
40,6,6,4,5,6,6,4,7,5
41,3,5,4,4,5,4,5,7,5
42,2,3,5,6,4,3,4,2,4
43,2,4,4,4,5,4,5,3,4
44,5,3,3,5,3,3,3,4,3
45,4,3,5,5,5,5,4,2,5
46,4,6,7,5,6,4,3,5,5
47,4,3,1,2,4,3,2,3,4
48,5,3,5,4,5,4,2,2,6
49,4,2,3,4,4,3,4,2,3
50,4,5,5,5,4,5,5,5,5
51,7,4,4,6,5,4,4,6,5
52,3,4,5,5,2,4,5,3,3
53,6,6,5,5,3,3,5,4,6
54,3,2,4,3,3,5,5,3,3
55,2,3,5,3,5,3,4,4,2
56,5,5,7,6,4,5,5,3,6
57,3,5,5,4,4,4,4,2,4
58,5,3,3,5,3,5,6,3,4
59,4,3,3,3,4,5,5,6,4
60,4,4,4,4,5,4,4,5,5
